id,name,address,rent,utilities,deposits,bedrooms,bathrooms,sqft,lat,lng,step_free_entry,elevator,doorway_width,accessible_bathroom,accessible_parking,management_hours,lit_streets,distance_to_campus,walk_time,bus_frequency,accepts_international,no_ssn_required,allows_cosigner,anti_discrimination_policy,responsive_comms,description,images,amenities,pet_friendly,smoking_allowed,laundry,internet,utilities_included,air_conditioning,heating,security_features,neighborhood_safety_score,transit_score,walkability_score
1,University Heights Apartments,123 College Ave,1200,150,2400,2,1,850,37.2296,-80.4139,true,true,36,true,true,24/7,true,0.5,8,15,true,true,true,true,true,"Modern apartment complex near campus with excellent accessibility features",["apt1.jpg","apt2.jpg"],["Pool","Gym","Study Room"],true,false,true,true,false,true,true,["Security Cameras","Key Fob Access"],85,90,95
2,International House,456 Global St,950,120,1900,1,1,650,37.2315,-80.4150,true,false,32,true,false,9-17,true,0.3,5,10,true,true,true,true,true,"Dedicated housing for international students with multilingual support",["intl1.jpg","intl2.jpg"],["Common Room","Kitchen","Laundry"],true,false,true,true,true,true,true,["Security Guard","CCTV"],90,85,88
3,Riverside Commons,789 River Rd,1400,200,2800,3,2,1200,37.2340,-80.4180,false,true,34,true,true,8-20,true,1.2,15,20,false,false,true,true,false,"Luxury apartments with river views and premium amenities",["river1.jpg","river2.jpg"],["Pool","Fitness Center","Concierge"],true,false,true,true,true,true,true,["Gated Community","24/7 Security"],95,70,75
4,Student Village,321 Campus Dr,800,100,1600,1,1,500,37.2280,-80.4120,true,false,30,false,false,9-18,false,0.2,3,5,true,true,true,false,true,"Affordable student housing with basic amenities",["village1.jpg","village2.jpg"],["Study Room","Laundry"],false,false,true,true,false,true,true,["Basic Security"],70,95,98
5,Maple Grove Apartments,654 Maple St,1100,140,2200,2,1,750,37.2320,-80.4160,true,true,36,true,true,8-22,true,0.8,12,18,true,false,true,true,true,"Family-friendly apartments with accessibility features",["maple1.jpg","maple2.jpg"],["Playground","BBQ Area","Laundry"],true,false,true,true,true,true,true,["Security Cameras","Well-lit"],80,80,85
6,The Lofts,987 Industrial Blvd,1600,180,3200,2,2,1000,37.2360,-80.4200,false,true,32,true,true,24/7,true,1.5,20,25,false,false,true,true,false,"Converted industrial space with modern amenities",["loft1.jpg","loft2.jpg"],["Rooftop Deck","Fitness Center","Co-working"],true,false,true,true,true,true,true,["Key Card Access","Security"],88,65,70
7,Green Valley Apartments,147 Valley Rd,900,110,1800,1,1,600,37.2250,-80.4100,true,false,34,true,false,9-19,true,0.6,10,12,true,true,true,true,true,"Eco-friendly apartments with sustainable features",["green1.jpg","green2.jpg"],["Garden","Composting","Solar Panels"],true,false,true,true,true,true,true,["Eco Security","LED Lighting"],75,85,90
8,Sunset Towers,258 Sunset Ave,1300,160,2600,2,2,900,37.2380,-80.4220,true,true,36,true,true,8-20,true,1.0,15,20,true,false,true,true,true,"High-rise apartments with city views",["sunset1.jpg","sunset2.jpg"],["Rooftop Pool","Gym","Lounge"],true,false,true,true,true,true,true,["24/7 Security","CCTV"],92,75,80
9,Cozy Corner,369 Corner St,700,90,1400,1,1,450,37.2270,-80.4110,true,false,30,false,false,9-17,false,0.4,6,8,true,true,true,false,true,"Small studio apartments for budget-conscious students",["cozy1.jpg","cozy2.jpg"],["Study Nook","Laundry"],false,false,true,true,false,true,true,["Basic Locks"],65,90,92
10,Parkside Residences,741 Park Ave,1150,130,2300,2,1,800,37.2330,-80.4170,true,true,36,true,true,8-22,true,0.7,11,15,true,false,true,true,true,"Apartments near the city park with nature views",["park1.jpg","park2.jpg"],["Park Access","BBQ Area","Playground"],true,false,true,true,true,true,true,["Park Security","Well-lit"],85,85,88
